evidence_id,parameter,method,relationship,estimate_low,estimate_central,estimate_high,unit,source_title,source_url,source_type,jurisdiction,population,measurement_start,measurement_end,retrieved_on,independence,status,confidence,transferability,limitations,notes
ASSUMP-METHOD-SELF-DECLARATION-VARIABLE-COST-PER-IDENTITY-PROOF,variable_cost_per_identity_proof,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-FIXED-ANNUAL-COST,fixed_annual_cost,self_declaration,assumption,500,2500,8000,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-MINOR-DETECTION-RATE,minor_detection_rate,visual_estimation,assumption,0.35,0.55,0.75,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-MINOR-CIRCUMVENTION-RATE,minor_circumvention_rate,visual_estimation,assumption,0.25,0.45,0.65,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-MINOR-SUBSTITUTION-RATE,minor_substitution_rate,visual_estimation,assumption,0.1,0.3,0.55,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-ADULT-FALSE-REJECTION-RATE,adult_false_rejection_rate,visual_estimation,assumption,0.02,0.06,0.12,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-ADULT-ABANDONMENT-RATE,adult_abandonment_rate,visual_estimation,assumption,0.005,0.015,0.04,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER,higher_friction_false_rejection_multiplier,visual_estimation,assumption,1.2,1.7,2.5,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER,higher_friction_abandonment_multiplier,visual_estimation,assumption,1.1,1.5,2.3,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-VERIFICATION-CHECK-RATE,verification_check_rate,visual_estimation,assumption,0.55,0.75,0.95,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-IDENTITY-PROOFING-RATE,identity_proofing_rate,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-RECORDS-PER-IDENTITY-PROOF,records_per_identity_proof,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-ANNUAL-BREACH-PROBABILITY,annual_breach_probability,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-CATASTROPHIC-BREACH-PROBABILITY,catastrophic_breach_probability,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-CATASTROPHIC-EXPOSURE-FRACTION,catastrophic_exposure_fraction,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF,third_party_disclosures_per_identity_proof,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,biometric_scans_per_identity_proof,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-TRANSIENT-IMAGES-PER-IDENTITY-PROOF,transient_images_per_identity_proof,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-AGE-ASSERTIONS-PER-CHECK,age_assertions_per_check,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-CENTRALIZED-RECORD-FRACTION,centralized_record_fraction,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-RECORD-RETENTION-YEARS,record_retention_years,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-VARIABLE-COST-PER-CHECK,variable_cost_per_check,visual_estimation,assumption,0.03,0.08,0.2,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-VARIABLE-COST-PER-IDENTITY-PROOF,variable_cost_per_identity_proof,visual_estimation,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-VISUAL-ESTIMATION-FIXED-ANNUAL-COST,fixed_annual_cost,visual_estimation,assumption,3000,12000,35000,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-MINOR-DETECTION-RATE,minor_detection_rate,photo_id_visual,assumption,0.85,0.94,0.985,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-MINOR-CIRCUMVENTION-RATE,minor_circumvention_rate,photo_id_visual,assumption,0.08,0.18,0.35,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-MINOR-SUBSTITUTION-RATE,minor_substitution_rate,photo_id_visual,assumption,0.12,0.35,0.65,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-ADULT-FALSE-REJECTION-RATE,adult_false_rejection_rate,photo_id_visual,assumption,0.008,0.025,0.065,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-ADULT-ABANDONMENT-RATE,adult_abandonment_rate,photo_id_visual,assumption,0.03,0.08,0.16,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER,higher_friction_false_rejection_multiplier,photo_id_visual,assumption,2.0,3.0,5.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER,higher_friction_abandonment_multiplier,photo_id_visual,assumption,1.8,2.8,4.5,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-VERIFICATION-CHECK-RATE,verification_check_rate,photo_id_visual,assumption,0.65,0.85,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-IDENTITY-PROOFING-RATE,identity_proofing_rate,photo_id_visual,assumption,1.0,1.0,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-RECORDS-PER-IDENTITY-PROOF,records_per_identity_proof,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-ANNUAL-BREACH-PROBABILITY,annual_breach_probability,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-CATASTROPHIC-BREACH-PROBABILITY,catastrophic_breach_probability,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-CATASTROPHIC-EXPOSURE-FRACTION,catastrophic_exposure_fraction,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF,third_party_disclosures_per_identity_proof,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,biometric_scans_per_identity_proof,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-TRANSIENT-IMAGES-PER-IDENTITY-PROOF,transient_images_per_identity_proof,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-AGE-ASSERTIONS-PER-CHECK,age_assertions_per_check,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-CENTRALIZED-RECORD-FRACTION,centralized_record_fraction,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-RECORD-RETENTION-YEARS,record_retention_years,photo_id_visual,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-VARIABLE-COST-PER-CHECK,variable_cost_per_check,photo_id_visual,assumption,0.02,0.06,0.15,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-VARIABLE-COST-PER-IDENTITY-PROOF,variable_cost_per_identity_proof,photo_id_visual,assumption,0.04,0.12,0.3,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-PHOTO-ID-VISUAL-FIXED-ANNUAL-COST,fixed_annual_cost,photo_id_visual,assumption,8000,25000,70000,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-MINOR-DETECTION-RATE,minor_detection_rate,document_upload,assumption,0.9,0.97,0.995,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-MINOR-CIRCUMVENTION-RATE,minor_circumvention_rate,document_upload,assumption,0.08,0.2,0.38,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-MINOR-SUBSTITUTION-RATE,minor_substitution_rate,document_upload,assumption,0.15,0.4,0.7,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-ADULT-FALSE-REJECTION-RATE,adult_false_rejection_rate,document_upload,assumption,0.015,0.04,0.1,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-ADULT-ABANDONMENT-RATE,adult_abandonment_rate,document_upload,assumption,0.07,0.14,0.28,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER,higher_friction_false_rejection_multiplier,document_upload,assumption,2.5,4.0,7.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER,higher_friction_abandonment_multiplier,document_upload,assumption,2.0,3.5,6.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-VERIFICATION-CHECK-RATE,verification_check_rate,document_upload,assumption,0.9,1.0,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-IDENTITY-PROOFING-RATE,identity_proofing_rate,document_upload,assumption,0.85,1.0,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-RECORDS-PER-IDENTITY-PROOF,records_per_identity_proof,document_upload,assumption,0.5,1.0,2.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-ANNUAL-BREACH-PROBABILITY,annual_breach_probability,document_upload,assumption,0.002,0.015,0.05,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-CATASTROPHIC-BREACH-PROBABILITY,catastrophic_breach_probability,document_upload,assumption,0.0001,0.001,0.01,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-CATASTROPHIC-EXPOSURE-FRACTION,catastrophic_exposure_fraction,document_upload,assumption,0.25,0.75,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF,third_party_disclosures_per_identity_proof,document_upload,assumption,1.0,1.0,2.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,biometric_scans_per_identity_proof,document_upload,assumption,0.0,0.0,0.5,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-TRANSIENT-IMAGES-PER-IDENTITY-PROOF,transient_images_per_identity_proof,document_upload,assumption,1.0,1.0,2.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-AGE-ASSERTIONS-PER-CHECK,age_assertions_per_check,document_upload,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-CENTRALIZED-RECORD-FRACTION,centralized_record_fraction,document_upload,assumption,0.6,0.9,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-RECORD-RETENTION-YEARS,record_retention_years,document_upload,assumption,0.25,1.0,5.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-VARIABLE-COST-PER-CHECK,variable_cost_per_check,document_upload,assumption,0.05,0.15,0.4,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-VARIABLE-COST-PER-IDENTITY-PROOF,variable_cost_per_identity_proof,document_upload,assumption,0.25,0.6,1.25,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-DOCUMENT-UPLOAD-FIXED-ANNUAL-COST,fixed_annual_cost,document_upload,assumption,25000,60000,160000,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
